iter	Logloss
250	0.293078056
251	0.2923662432
252	0.29104126
253	0.2902295902
254	0.2891739522
255	0.2881126587
256	0.287259704
257	0.2857298707
258	0.2849107073
259	0.284096273
260	0.2835210344
261	0.2827061904
262	0.2815747412
263	0.2806140367
264	0.2801375252
265	0.2791575815
266	0.2786646667
267	0.2776510336
268	0.2769087672
269	0.2758582171
270	0.2750445005
271	0.2746043127
272	0.2741989538
273	0.2731833636
274	0.2722415336
275	0.2716284231
276	0.2708267444
277	0.269837989
278	0.2691780357
279	0.2685152909
280	0.2681682339
281	0.267451307
282	0.2665592575
283	0.2655046204
284	0.2647337366
285	0.2635470775
286	0.2628357427
287	0.2619186273
288	0.2611519977
289	0.2601931698
290	0.2593585556
291	0.2588676875
292	0.2581632722
293	0.2569234674
294	0.2563177361
295	0.2553349695
296	0.2542188953
297	0.2532444178
298	0.2525638399
299	0.2515643421
300	0.2507641972
301	0.249945817
302	0.249214641
303	0.2484915966
304	0.2478977016
305	0.2466198077
306	0.2458438066
307	0.2447337679
308	0.2436414862
309	0.2428972316
310	0.242183766
311	0.2412722509
312	0.2400022449
313	0.2396529608
314	0.2386113149
315	0.2379631433
316	0.2376418468
317	0.2369994665
318	0.2366058194
319	0.2359606593
320	0.2356386413
321	0.2350911671
322	0.2346577017
323	0.2338632814
324	0.2332314503
325	0.2325978712
326	0.2317219525
327	0.2310894408
328	0.230517468
329	0.2302809403
330	0.2294902335
331	0.2289304675
332	0.2285430604
333	0.2279273455
334	0.2272280259
335	0.2268853615
336	0.2262590582
337	0.2258050462
338	0.2250849821
339	0.2243431529
340	0.2236454652
341	0.2228754929
342	0.2223658413
343	0.2218315498
344	0.2211783519
345	0.2205275821
346	0.2201434521
347	0.2192949229
348	0.2187693565
349	0.2183238997
350	0.2175437784
351	0.2170992991
352	0.2163923065
353	0.2153830759
354	0.2148805743
355	0.2142204597
356	0.2136731893
357	0.2132159396
358	0.2127429466
359	0.212530209
360	0.2118868654
361	0.2109575959
362	0.210244607
363	0.209182552
364	0.2087281776
365	0.2080226833
366	0.2074352665
367	0.206755005
368	0.2058616994
369	0.2053351208
370	0.2048131858
371	0.2042900998
372	0.2037266838
373	0.2029598615
374	0.2024066458
375	0.2017328473
376	0.2014894153
377	0.2013083578
378	0.2006842218
379	0.200105102
380	0.1996369531
381	0.1989332207
382	0.1981847329
383	0.1974960432
384	0.1964365771
385	0.195831745
386	0.1952818506
387	0.1945338032
388	0.19412342
389	0.1932093773
390	0.1927286036
391	0.1923213182
392	0.1917284257
393	0.1910635321
394	0.1903843575
395	0.1900580823
396	0.1895856286
397	0.1890617643
398	0.188761924
399	0.1880471165
400	0.1873236152
401	0.1868192291
402	0.1861013413
403	0.1859566196
404	0.1857020465
405	0.1851952447
406	0.1848871491
407	0.1840164859
408	0.1833468763
409	0.1828105969
410	0.1822532838
411	0.1815002875
412	0.1807484299
413	0.180193703
414	0.1796064738
415	0.1793081714
416	0.1791060078
417	0.178616938
418	0.1780788081
419	0.177725288
420	0.1773589212
421	0.1766745928
422	0.1762723487
423	0.1756087034
424	0.1752617263
425	0.1748059362
426	0.1744579774
427	0.1740720207
428	0.17353784
429	0.1731624882
430	0.1727199347
431	0.1724867512
432	0.1720554432
433	0.1715852695
434	0.1711190171
435	0.1707925801
436	0.170173316
437	0.1698995986
438	0.1695137676
439	0.1690440424
440	0.168411707
441	0.1677874787
442	0.1670942276
443	0.1667310411
444	0.1662189752
445	0.1657211404
446	0.1649798265
447	0.1644829948
448	0.1640931662
449	0.163803999
450	0.1634216667
451	0.1629896497
452	0.1627878048
453	0.1624862633
454	0.1619147369
455	0.1613571082
456	0.1607394459
457	0.1602358142
458	0.1598408554
459	0.1594611132
460	0.1591637761
461	0.1587471134
462	0.1583349534
463	0.1579861587
464	0.1577280648
465	0.1570520259
466	0.1565947507
467	0.1560469969
468	0.1555432264
469	0.1548712433
470	0.1543322443
471	0.1539102053
472	0.1535896229
473	0.1531854756
474	0.1527624255
475	0.152145505
476	0.1516382038
477	0.1513571887
478	0.1508859227
479	0.1504474666
480	0.1501582566
481	0.1499580319
482	0.1493707617
483	0.1491076463
484	0.1485302839
485	0.1481104457
486	0.147832606
487	0.1477171339
488	0.1473939634
489	0.1471232359
490	0.1466908174
491	0.1463788721
492	0.1458794224
493	0.1455152847
494	0.1453065598
495	0.1449044813
496	0.1444952136
497	0.1441886942
498	0.1438553661
499	0.1433551612
