iter	Logloss
0	0.6895221177
1	0.6859820677
2	0.6820299906
3	0.6784243828
4	0.6737421964
5	0.6706551589
6	0.6658663216
7	0.6624295184
8	0.6606656975
9	0.6571933253
10	0.6532306413
11	0.6502756943
12	0.6469639306
13	0.6445179969
14	0.6409885399
15	0.6377806332
16	0.6347623141
17	0.6316114825
18	0.6283654722
19	0.6262671302
20	0.6231108533
21	0.6206475059
22	0.6185678418
23	0.6165888343
24	0.6148268959
25	0.61160158
26	0.6088114949
27	0.6059891041
28	0.6043377326
29	0.6013833096
30	0.5994948081
31	0.5976535597
32	0.5951436549
33	0.5923031213
34	0.5894278771
35	0.5866579199
36	0.583813185
37	0.5813625426
38	0.5796586749
39	0.5778714291
40	0.5754078653
41	0.5733581975
42	0.5709044752
43	0.5674075582
44	0.5650454264
45	0.5630083142
46	0.559368602
47	0.5572677498
48	0.5552222179
49	0.5531288486
50	0.5515563442
51	0.5493811296
52	0.5470627053
53	0.5447108331
54	0.5428439765
55	0.5406196384
56	0.5372904395
57	0.5356404194
58	0.5339828558
59	0.5311131468
60	0.5290035561
61	0.5280054022
62	0.5253349829
63	0.52309847
64	0.5218632324
65	0.5194623692
66	0.5178045556
67	0.5165119555
68	0.5150460231
69	0.5139079541
70	0.5117112658
71	0.5092787668
72	0.5074074033
73	0.5057518741
74	0.5042102276
75	0.5026495917
76	0.5005891286
77	0.498783552
78	0.4972779706
79	0.4959638513
80	0.4944393545
81	0.4934479013
82	0.4924282078
83	0.4904622906
84	0.4884174039
85	0.4867650482
86	0.4857376074
87	0.4831357317
88	0.4813222162
89	0.4796553326
90	0.4785871553
91	0.477392274
92	0.4760320411
93	0.4745647904
94	0.4734008657
95	0.4716974124
96	0.4705216581
97	0.4693216725
98	0.4682693565
99	0.4667779978
100	0.4650440064
101	0.4636032845
102	0.4616565399
103	0.459938579
104	0.458536493
105	0.4574430499
106	0.4550314929
107	0.4523963292
108	0.4507686904
109	0.4492413846
110	0.448134306
111	0.4460185187
112	0.4449315518
113	0.4426128888
114	0.4403740677
115	0.4392308081
116	0.4376374037
117	0.4364266992
118	0.4349344229
119	0.4332861088
120	0.4316966312
121	0.4306496399
122	0.4292562361
123	0.4284354204
124	0.4272953382
125	0.426487626
126	0.4253016082
127	0.4241657334
128	0.4224606734
129	0.4215328369
130	0.4198541473
131	0.4186110238
132	0.417329693
133	0.4159563579
134	0.4148138007
135	0.414234685
136	0.4131948723
137	0.4118402322
138	0.4107356257
139	0.4096033784
140	0.4085675338
141	0.4066742223
142	0.4055175105
143	0.4041334509
144	0.4027528065
145	0.4013435757
146	0.3997023383
147	0.399224215
148	0.3978328521
149	0.3962158714
150	0.3949735856
151	0.3943491082
152	0.3928242905
153	0.3911661378
154	0.3898361934
155	0.3892847953
156	0.3881994544
157	0.3869943905
158	0.3863385069
159	0.3851350817
160	0.3838399428
161	0.3831284862
162	0.3811879203
163	0.3795448775
164	0.3780353633
165	0.3766983793
166	0.3761581132
167	0.3753687583
168	0.3743278661
169	0.373630345
170	0.3724860104
171	0.3710272142
172	0.3696600136
173	0.3680825415
174	0.3668556996
175	0.3659942567
176	0.3651282592
177	0.364118443
178	0.3633752831
179	0.3625846213
180	0.3613030714
181	0.3600512974
182	0.3588852944
183	0.3576315408
184	0.3569374874
185	0.3559635351
186	0.3548119423
187	0.35370577
188	0.3519604597
189	0.3504277659
190	0.349072755
191	0.3479553638
192	0.3468095581
193	0.3464096452
194	0.34539916
195	0.3444445888
196	0.343481016
197	0.3420291071
198	0.3407612549
199	0.3403104119
200	0.339266403
201	0.3385787782
202	0.3377360496
203	0.3366664471
204	0.3353335065
205	0.3344260907
206	0.3334663857
207	0.3321792279
208	0.331337957
209	0.3307443781
210	0.3300291162
211	0.3293718398
212	0.3283097762
213	0.3275710921
214	0.3267481959
215	0.3260411393
216	0.3254469375
217	0.3249310968
218	0.3236271975
219	0.3230333206
220	0.3215882155
221	0.3202517618
222	0.318643225
223	0.317766275
224	0.316208732
225	0.3152753333
226	0.3146738388
227	0.3134084102
228	0.3125324598
229	0.3116840507
230	0.3105388862
231	0.3089996645
232	0.3082683223
233	0.3073008664
234	0.3062283916
235	0.3053378556
236	0.3038807895
237	0.3027601297
238	0.302296525
239	0.3015066731
240	0.3008335646
241	0.3005465483
242	0.2992519736
243	0.2985729815
244	0.2977364436
245	0.2974184822
246	0.2961642414
247	0.2952089959
248	0.2946637677
249	0.2937851698
